"Designator","Value","Qty","DNP","LCSC","PN"
"AE301","915MHz","1","","",""
"C202,C303,C304,C305,C306,C401,C402,C501,C602,C701,C702,C801,C802,C1102","100n","14","","C14663","CC0603KRX7R9BB104"
"C203","10p","1","","C106245","CC0603JRNPO9BN100"
"C301,C302","33p","2","","C1663","CL10C330JB8NNNC"
"C307,C310","1.5p","2","","C519100","CC0603BRNPO9BN1R5"
"C308","1p","1","","C115062","CC0603BRNPO9BN1R0"
"C309","100p","1","","C14858","CL10C101JB8NNNC"
"C311","3.3p","1","","C282249","CC0603CRNPO9BN3R3"
"C312","47p","1","","C105622","CC0603JRNPO9BN470"
"C313","12p","1","","C38523","CL10C120JB8NNNC"
"C601","1n","1","","C1588","CL10B102KB8NNNC"
"C1101","100uF","1","","C5374787","126RV0054"
"J401","Conn_01x11","1","","C2845514","HC-XHB-11AW"
"J501","Conn_01x03","1","","C2845506","HC-XHB-3AW"
"J601,J901","Conn_01x05","2","","C2845508","HC-XHB-5AW"
"J602","Conn_01x06","1","","C2908638","PH-6AW"
"J1001","Debugger Pin","1","","",""
"J1101","Conn_01x02","1","","C33132","XH-2AW"
"L301,L302,L305,L306","12n","4","","C75656","VHF160808H12NJT"
"L303,L304","18n","2","","C90206","VHF160808H18NJT"
"L307","3.3n","1","","C1029","VHF160808H3N3ST"
"R201,R703,R704","10k","3","","C25804","0603WAF1002T5E"
"R301","56k","1","","C23206","0603WAF5602T5E"
"R601","22k","1","","C31850","0603WAF2202T5E"
"R602","1k","1","","C21190","0603WAF1001T5E"
"R603","2k2","1","","C4190","0603WAF2201T5E"
"R604,R605,R606","3k3","3","","C22978","0603WAF3301T5E"
"R607,R801,R802","4k7","3","","C23162","0603WAF4701T5E"
"R608","5k6","1","","C23189","0603WAF5601T5E"
"R609,R701,R702,R901,R902,R903,R904","100","7","","C22775","0603WAF1000T5E"
"R1001,R1002,R1003,R1004,R1005","10","5","","C22859","0603WAF100JT5E"
"SW701","DOWN","1","","C404351","CPG151101S21"
"SW702","UP","1","","C404351","CPG151101S21"
"TP301,TP302,TP303,TP304,TP401,TP402,TP501,TP601,TP701,TP702,TP801,TP802,TP803,TP804","TestPoint","14","","",""
"U201","STM32G070KBTx","1","","C529339","STM32G070KBT6"
"U301","CC1101RGPR","1","","C29953","CC1101RGPR"
"U401,U402","74HC165","2","","C80696","74HC165PW,118"
"U801","LIS3DHTR","1","","C15134","LIS3DHTR"
"Y301","27MHz","1","","C9008","X322527MSB4SI"
